"year","site","state","sex","race","mortality","incidence","population"
1999,"Brain and Other Nervous System","alabama","Female","Black",0,19,623475
1999,"Brain and Other Nervous System","alabama","Female","Hispanic",0,0,28101
1999,"Brain and Other Nervous System","alabama","Female","White",83.67,110,1640665
1999,"Brain and Other Nervous System","alabama","Male","Black",0,18,539198
1999,"Brain and Other Nervous System","alabama","Male","Hispanic",0,0,37082
1999,"Brain and Other Nervous System","alabama","Male","White",103.66,145,1570643
1999,"Brain and Other Nervous System","alaska","Female","Black",0,0,12710
1999,"Brain and Other Nervous System","alaska","Female","Hispanic",0,0,11664
1999,"Brain and Other Nervous System","alaska","Female","White",0,0,220036
1999,"Brain and Other Nervous System","alaska","Male","Black",0,0,13900
1999,"Brain and Other Nervous System","alaska","Male","Hispanic",0,0,12333
1999,"Brain and Other Nervous System","alaska","Male","White",0,0,242016
1999,"Brain and Other Nervous System","arizona","Female","Black",0,0,84913
1999,"Brain and Other Nervous System","arizona","Female","Hispanic",0,17,598243
1999,"Brain and Other Nervous System","arizona","Female","White",93.88,159,2235195
1999,"Brain and Other Nervous System","arizona","Male","Black",0,0,92706
1999,"Brain and Other Nervous System","arizona","Male","Hispanic",0,24,637473
1999,"Brain and Other Nervous System","arizona","Male","White",126.85,169,2225387
1999,"Brain and Other Nervous System","arkansas","Female","Black",0,0,224639
1999,"Brain and Other Nervous System","arkansas","Female","Hispanic",0,0,32674
1999,"Brain and Other Nervous System","arkansas","Female","White",66.86,65,1114373
1999,"Brain and Other Nervous System","arkansas","Male","Black",0,0,199799
1999,"Brain and Other Nervous System","arkansas","Male","Hispanic",0,0,41953
1999,"Brain and Other Nervous System","arkansas","Male","White",92.33,92,1073571
1999,"Brain and Other Nervous System","california","Female","Black",34.4,41,1274187
1999,"Brain and Other Nervous System","california","Female","Hispanic",88.47,188,5203897
1999,"Brain and Other Nervous System","california","Female","White",607.35,787,13203242
1999,"Brain and Other Nervous System","california","Male","Black",29.48,49,1228282
1999,"Brain and Other Nervous System","california","Male","Hispanic",98.62,198,5478709
1999,"Brain and Other Nervous System","california","Male","White",704.33,1020,13289192
1999,"Brain and Other Nervous System","colorado","Female","Black",0,0,88362
1999,"Brain and Other Nervous System","colorado","Female","Hispanic",0,0,335514
1999,"Brain and Other Nervous System","colorado","Female","White",57.91,101,1930473
1999,"Brain and Other Nervous System","colorado","Male","Black",0,0,94708
1999,"Brain and Other Nervous System","colorado","Male","Hispanic",0,0,366510
1999,"Brain and Other Nervous System","colorado","Male","White",99.57,146,1952428
1999,"Brain and Other Nervous System","connecticut","Female","Black",0,0,179119
1999,"Brain and Other Nervous System","connecticut","Female","Hispanic",0,0,154780
1999,"Brain and Other Nervous System","connecticut","Female","White",53.11,104,1517316
1999,"Brain and Other Nervous System","connecticut","Male","Black",0,0,162682
