"","x"
"1",1.3262465757455
"2",1.01360429780056
"3",1.07761837715113
"4",1.37031824010921
"5",2.0163631565225
"6",1.00490598380725
"7",1.00558445211666
"8",1.03088438211818
"9",1.18599140573369
"10",1.18383030884827
"11",1.28713653395083
"12",1.00194959467077
"13",1.0403542259914
"14",1.09529610383144
"15",1.00077506740666
"16",1.12163509923355
"17",1.08638082195787
"18",1.10862429828637
"19",1.00807540296581
"20",1.06030260740506
"21",1.23846137876996
"22",1.22771873910238
"23",1.28498814128722
"24",1.01102353091572
"25",1.06895548609423
